"","vroot","click","user"
"225",1020,1,"10152"
"226",1003,1,"10152"
"227",1001,1,"10152"
"228",1078,1,"10152"
"229",1018,1,"10152"
"231",1017,1,"10156"
"232",1018,1,"10156"
"233",1021,1,"10156"
"234",1019,1,"10156"
"235",1057,1,"10156"
"236",1010,1,"10156"
"237",1093,1,"10156"
"238",1094,1,"10156"
"239",1011,1,"10156"
"240",1095,1,"10156"
"241",1026,1,"10156"
"242",1068,1,"10156"
"243",1041,1,"10156"
"244",1032,1,"10156"
"245",1096,1,"10156"
"246",1042,1,"10156"
"247",1097,1,"10156"
"249",1017,1,"10162"
"250",1008,1,"10162"
"251",1000,1,"10162"
"252",1036,1,"10162"
"253",1040,1,"10162"
"254",1052,1,"10162"
"255",1031,1,"10162"
"256",1003,1,"10162"
"258",1000,1,"10166"
"259",1008,1,"10166"
"260",1027,1,"10166"
"261",1009,1,"10166"
"262",1024,1,"10166"
"263",1041,1,"10166"
"264",1101,1,"10166"
"265",1072,1,"10166"
"267",1035,1,"10185"
"268",1030,1,"10185"
"269",1037,1,"10185"
"270",1055,1,"10185"
"271",1009,1,"10185"
"272",1017,1,"10185"
"273",1004,1,"10185"
"275",1077,1,"10186"
"276",1017,1,"10186"
"277",1031,1,"10186"
"278",1040,1,"10186"
"279",1001,1,"10186"
"280",1003,1,"10186"
"282",1035,1,"10190"
"283",1008,1,"10190"
"284",1076,1,"10190"
"285",1017,1,"10190"
"286",1003,1,"10190"
"287",1018,1,"10190"
"288",1034,1,"10190"
"290",1017,1,"10196"
"291",1004,1,"10196"
"292",1036,1,"10196"
"293",1008,1,"10196"
"294",1037,1,"10196"
"295",1009,1,"10196"
"296",1052,1,"10196"
"297",1032,1,"10196"
"299",1008,1,"10197"
"300",1011,1,"10197"
"301",1040,1,"10197"
"302",1017,1,"10197"
"303",1061,1,"10197"
"304",1014,1,"10197"
"305",1004,1,"10197"
"306",1021,1,"10197"
"307",1105,1,"10197"
"309",1008,1,"10198"
"310",1106,1,"10198"
"311",1107,1,"10198"
"312",1009,1,"10198"
"313",1003,1,"10198"
"314",1018,1,"10198"
"316",1108,1,"10205"
"317",1295,1,"10205"
"318",1054,1,"10205"
"319",1109,1,"10205"
"320",1100,1,"10205"
"321",1017,1,"10205"
"322",1088,1,"10205"
"323",1004,1,"10205"
"325",1074,1,"10208"
"326",1110,1,"10208"
"327",1295,1,"10208"
"328",1009,1,"10208"
"329",1031,1,"10208"
"330",1032,1,"10208"
"331",1034,1,"10208"
"332",1111,1,"10208"
"333",1017,1,"10208"
"334",1092,1,"10208"
"335",1018,1,"10208"
"336",1004,1,"10208"
"337",1021,1,"10208"
"338",1008,1,"10208"
"339",1010,1,"10208"
"340",1112,1,"10208"
"341",1053,1,"10208"
"342",1002,1,"10208"
"344",1017,1,"10216"
"345",1076,1,"10216"
"346",1114,1,"10216"
"347",1018,1,"10216"
"348",1074,1,"10216"
"349",1008,1,"10216"
"350",1115,1,"10216"
"351",1001,1,"10216"
"352",1003,1,"10216"
"354",1017,1,"10218"
"355",1004,1,"10218"
"356",1014,1,"10218"
"357",1000,1,"10218"
"358",1008,1,"10218"
"359",1052,1,"10218"
"360",1040,1,"10218"
"361",1031,1,"10218"
"362",1001,1,"10218"
"364",1008,1,"10219"
"365",1027,1,"10219"
"366",1009,1,"10219"
"367",1026,1,"10219"
"368",1018,1,"10219"
"369",1034,1,"10219"
"371",1045,1,"10224"
"372",1046,1,"10224"
"373",1049,1,"10224"
"374",1041,1,"10224"
"375",1003,1,"10224"
"376",1018,1,"10224"
"378",1120,1,"10241"
"379",1017,1,"10241"
"380",1008,1,"10241"
"381",1112,1,"10241"
"382",1031,1,"10241"
"383",1121,1,"10241"
"384",1060,1,"10241"
"385",1032,1,"10241"
"386",1002,1,"10241"
"388",1008,1,"10244"
"389",1058,1,"10244"
"390",1076,1,"10244"
"391",1003,1,"10244"
"392",1001,1,"10244"
"393",1078,1,"10244"
"394",1018,1,"10244"
"395",1034,1,"10244"
"397",1008,1,"10252"
"398",1027,1,"10252"
"399",1038,1,"10252"
"400",1026,1,"10252"
"401",1017,1,"10252"
"402",1003,1,"10252"
"403",1041,1,"10252"
"404",1068,1,"10252"
"405",1024,1,"10252"
"406",1078,1,"10252"
"407",1034,1,"10252"
"408",1004,1,"10252"
"410",1025,1,"10269"
"411",1070,1,"10269"
"412",1017,1,"10269"
"413",1067,1,"10269"
"414",1125,1,"10269"
"415",1038,1,"10269"
"416",1026,1,"10269"
"417",1041,1,"10269"
"419",1017,1,"10272"
"420",1004,1,"10272"
"421",1008,1,"10272"
"422",1037,1,"10272"
"423",1126,1,"10272"
"424",1055,1,"10272"
"425",1009,1,"10272"
"426",1061,1,"10272"
"427",1032,1,"10272"
"428",1034,1,"10272"
"430",1035,1,"10281"
"431",1037,1,"10281"
"432",1009,1,"10281"
"433",1001,1,"10281"
"434",1003,1,"10281"
"435",1004,1,"10281"
"436",1018,1,"10281"
"438",1008,1,"10284"
"439",1035,1,"10284"
"440",1080,1,"10284"
"441",1003,1,"10284"
"442",1001,1,"10284"
"443",1018,1,"10284"
"445",1118,1,"10286"
"446",1025,1,"10286"
"447",1127,1,"10286"
"448",1070,1,"10286"
"449",1114,1,"10286"
"450",1128,1,"10286"
"451",1004,1,"10286"
"453",1065,1,"10290"
"454",1054,1,"10290"
"455",1129,1,"10290"
"456",1024,1,"10290"
"457",1072,1,"10290"
"458",1008,1,"10290"
"459",1038,1,"10290"
"460",1026,1,"10290"
"461",1034,1,"10290"
"462",1042,1,"10290"
"463",1053,1,"10290"
"465",1008,1,"10301"
"466",1009,1,"10301"
"467",1040,1,"10301"
"468",1052,1,"10301"
"469",1041,1,"10301"
"470",1018,1,"10301"
"472",1008,1,"10303"
"473",1017,1,"10303"
"474",1032,1,"10303"
"475",1024,1,"10303"
"476",1004,1,"10303"
"477",1018,1,"10303"
"478",1034,1,"10303"
"479",1043,1,"10303"
"481",1130,1,"10306"
"482",1017,1,"10306"
"483",1018,1,"10306"
"484",1035,1,"10306"
"485",1037,1,"10306"
"486",1009,1,"10306"
"487",1001,1,"10306"
"488",1003,1,"10306"
"490",1119,1,"10309"
"491",1081,1,"10309"
"492",1017,1,"10309"
"493",1014,1,"10309"
"494",1089,1,"10309"
"495",1011,1,"10309"
"496",1040,1,"10309"
"497",1031,1,"10309"
"498",1034,1,"10309"
"500",1133,1,"10319"
"501",1125,1,"10319"
"502",1026,1,"10319"
"503",1041,1,"10319"
"504",1001,1,"10319"
"505",1067,1,"10319"
"506",1034,1,"10319"
"508",1017,1,"10321"
"509",1031,1,"10321"
"510",1040,1,"10321"
"511",1006,1,"10321"
"512",1034,1,"10321"
"513",1018,1,"10321"
"515",1058,1,"10327"
"516",1004,1,"10327"
"517",1018,1,"10327"
"518",1008,1,"10327"
"519",1035,1,"10327"
"520",1055,1,"10327"
"521",1009,1,"10327"
"522",1003,1,"10327"
"523",1001,1,"10327"
"525",1020,1,"10335"
"526",1123,1,"10335"
"527",1027,1,"10335"
"528",1038,1,"10335"
"529",1009,1,"10335"
"530",1026,1,"10335"
"531",1041,1,"10335"
"532",1134,1,"10335"
"533",1042,1,"10335"
"534",1091,1,"10335"
"536",1008,1,"10341"
"537",1015,1,"10341"
"538",1031,1,"10341"
"539",1017,1,"10341"
"540",1034,1,"10341"
"541",1004,1,"10341"
"543",1065,1,"10348"
"544",1054,1,"10348"
"545",1074,1,"10348"
"546",1036,1,"10348"
"547",1136,1,"10348"
"548",1009,1,"10348"
"549",1040,1,"10348"
"550",1042,1,"10348"
"551",1034,1,"10348"
"552",1025,1,"10348"
"553",1130,1,"10348"
"554",1137,1,"10348"
"555",1017,1,"10348"
"556",1076,1,"10348"
"557",1092,1,"10348"
"558",1004,1,"10348"
"559",1014,1,"10348"
"560",1021,1,"10348"
"561",1000,1,"10348"
"562",1113,1,"10348"
"563",1008,1,"10348"
"564",1030,1,"10348"
"565",1037,1,"10348"
"566",1038,1,"10348"
"567",1089,1,"10348"
"568",1026,1,"10348"
"569",1041,1,"10348"
"570",1053,1,"10348"
"572",1008,1,"10362"
"573",1045,1,"10362"
"574",1139,1,"10362"
"575",1103,1,"10362"
"576",1034,1,"10362"
"577",1071,1,"10362"
"579",1020,1,"10365"
"580",1123,1,"10365"
"581",1088,1,"10365"
"582",1001,1,"10365"
"583",1078,1,"10365"
"584",1004,1,"10365"
"586",1064,1,"10375"
"587",1004,1,"10375"
"588",1072,1,"10375"
"589",1008,1,"10375"
"590",1136,1,"10375"
"591",1027,1,"10375"
"592",1009,1,"10375"
"593",1026,1,"10375"
"594",1041,1,"10375"
"595",1034,1,"10375"
"597",1125,1,"10381"
"598",1026,1,"10381"
"599",1143,1,"10381"
"600",1063,1,"10381"
"601",1001,1,"10381"
"602",1041,1,"10381"
"603",1004,1,"10381"
"604",1067,1,"10381"
"606",1046,1,"10387"
"607",1032,1,"10387"
"608",1001,1,"10387"
"609",1034,1,"10387"
"610",1018,1,"10387"
"611",1044,1,"10387"
"613",1058,1,"10389"
"614",1017,1,"10389"
"615",1013,1,"10389"
"616",1018,1,"10389"
"617",1035,1,"10389"
"618",1010,1,"10389"
"619",1037,1,"10389"
"620",1009,1,"10389"
"622",1035,1,"10408"
"623",1036,1,"10408"
"624",1037,1,"10408"
"625",1009,1,"10408"
"626",1001,1,"10408"
"627",1034,1,"10408"
"629",1000,1,"10409"
"630",1081,1,"10409"
"631",1011,1,"10409"
"632",1017,1,"10409"
"633",1040,1,"10409"
"634",1001,1,"10409"
"635",1002,1,"10409"
"637",1035,1,"10414"
"638",1085,1,"10414"
"639",1008,1,"10414"
"640",1001,1,"10414"
"641",1018,1,"10414"
"642",1034,1,"10414"
"644",1008,1,"10433"
"645",1009,1,"10433"
"646",1058,1,"10433"
"647",1017,1,"10433"
"648",1001,1,"10433"
"649",1002,1,"10433"
"651",1024,1,"10434"
"652",1004,1,"10434"
"653",1008,1,"10434"
"654",1046,1,"10434"
"655",1038,1,"10434"
"656",1039,1,"10434"
"657",1026,1,"10434"
"658",1034,1,"10434"
"660",1008,1,"10446"
"661",1127,1,"10446"
"662",1020,1,"10446"
"663",1017,1,"10446"
"664",1004,1,"10446"
"665",1034,1,"10446"
"666",1071,1,"10446"
"668",1085,1,"10452"
"669",1035,1,"10452"
"670",1008,1,"10452"
"671",1009,1,"10452"
"672",1046,1,"10452"
"673",1001,1,"10452"
"675",1085,1,"10454"
"676",1087,1,"10454"
"677",1054,1,"10454"
"678",1036,1,"10454"
"679",1011,1,"10454"
"680",1040,1,"10454"
"681",1039,1,"10454"
"682",1088,1,"10454"
"683",1003,1,"10454"
"684",1034,1,"10454"
"685",1118,1,"10454"
"686",1130,1,"10454"
"687",1020,1,"10454"
"688",1058,1,"10454"
"689",1017,1,"10454"
"690",1018,1,"10454"
"691",1014,1,"10454"
"692",1000,1,"10454"
"693",1030,1,"10454"
"694",1089,1,"10454"
"695",1134,1,"10454"
"696",1001,1,"10454"
"698",1000,1,"10457"
"699",1008,1,"10457"
"700",1016,1,"10457"
"701",1009,1,"10457"
"702",1011,1,"10457"
"703",1014,1,"10457"
"704",1004,1,"10457"
"706",1065,1,"10459"
"707",1026,1,"10459"
"708",1017,1,"10459"
"709",1092,1,"10459"
"710",1042,1,"10459"
"711",1021,1,"10459"
"713",1025,1,"10462"
"714",1070,1,"10462"
"715",1017,1,"10462"
"716",1024,1,"10462"
"717",1067,1,"10462"
"718",1004,1,"10462"
"719",1008,1,"10462"
"720",1030,1,"10462"
"721",1009,1,"10462"
"722",1038,1,"10462"
"723",1026,1,"10462"
"724",1041,1,"10462"
"726",1037,1,"10466"
"727",1065,1,"10466"
"728",1009,1,"10466"
"729",1026,1,"10466"
"730",1017,1,"10466"
"731",1053,1,"10466"
"732",1004,1,"10466"
"734",1081,1,"10471"
"735",1082,1,"10471"
"736",1063,1,"10471"
"737",1014,1,"10471"
"738",1004,1,"10471"
"739",1149,1,"10471"
"740",1000,1,"10471"
"741",1038,1,"10471"
"742",1011,1,"10471"
"743",1026,1,"10471"
"744",1012,1,"10471"
"745",1040,1,"10471"
"746",1003,1,"10471"
"747",1041,1,"10471"
"749",1010,1,"10473"
"750",1008,1,"10473"
"751",1046,1,"10473"
"752",1150,1,"10473"
"753",1001,1,"10473"
"754",1034,1,"10473"
"755",1018,1,"10473"
"757",1076,1,"10479"
"758",1017,1,"10479"
"759",1018,1,"10479"
"760",1078,1,"10479"
"761",1074,1,"10479"
"762",1008,1,"10479"
"763",1030,1,"10479"
"764",1052,1,"10479"
"765",1003,1,"10479"
"766",1001,1,"10479"
"768",1008,1,"10500"
"769",1027,1,"10500"
"770",1007,1,"10500"
"771",1070,1,"10500"
"772",1041,1,"10500"
"773",1097,1,"10500"
"774",1153,1,"10500"
"776",1008,1,"10504"
"777",1025,1,"10504"
"778",1106,1,"10504"
"779",1009,1,"10504"
"780",1007,1,"10504"
"781",1026,1,"10504"
"782",1001,1,"10504"
"784",1008,1,"10506"
"785",1017,1,"10506"
"786",1048,1,"10506"
"787",1018,1,"10506"
"788",1057,1,"10506"
"789",1019,1,"10506"
"791",1130,1,"10522"
"792",1017,1,"10522"
"793",1018,1,"10522"
"794",1008,1,"10522"
"795",1035,1,"10522"
"796",1009,1,"10522"
"797",1121,1,"10522"
"798",1001,1,"10522"
"800",1045,1,"10523"
"801",1059,1,"10523"
"802",1004,1,"10523"
"803",1008,1,"10523"
"804",1035,1,"10523"
"805",1009,1,"10523"
"806",1038,1,"10523"
"807",1026,1,"10523"
"808",1001,1,"10523"
"809",1003,1,"10523"
"810",1034,1,"10523"
"812",1008,1,"10560"
"813",1035,1,"10560"
"814",1046,1,"10560"
"815",1009,1,"10560"
"816",1059,1,"10560"
"817",1003,1,"10560"
"818",1001,1,"10560"
"819",1034,1,"10560"
"820",1018,1,"10560"
"821",1078,1,"10560"
"823",1017,1,"10564"
"824",1014,1,"10564"
"825",1154,1,"10564"
"826",1008,1,"10564"
"827",1000,1,"10564"
"828",1009,1,"10564"
"829",1026,1,"10564"
"830",1031,1,"10564"
"831",1040,1,"10564"
"832",1003,1,"10564"
"833",1088,1,"10564"
"835",1017,1,"10572"
"836",1004,1,"10572"
"837",1018,1,"10572"
"838",1008,1,"10572"
"839",1036,1,"10572"
"840",1035,1,"10572"
"841",1037,1,"10572"
"842",1027,1,"10572"
"843",1009,1,"10572"
"844",1026,1,"10572"
"845",1041,1,"10572"
"846",1034,1,"10572"
"848",1016,1,"10573"
"849",1051,1,"10573"
"850",1017,1,"10573"
"851",1014,1,"10573"
"852",1008,1,"10573"
"853",1040,1,"10573"
"854",1031,1,"10573"
"855",1001,1,"10573"
"856",1003,1,"10573"
"858",1010,1,"10597"
"859",1064,1,"10597"
"860",1125,1,"10597"
"861",1026,1,"10597"
"862",1017,1,"10597"
"863",1034,1,"10597"
"865",1020,1,"10598"
"866",1027,1,"10598"
"867",1059,1,"10598"
"868",1041,1,"10598"
"869",1053,1,"10598"
"870",1021,1,"10598"
"872",1025,1,"10607"
"873",1020,1,"10607"
"874",1065,1,"10607"
"875",1124,1,"10607"
"876",1017,1,"10607"
"877",1066,1,"10607"
"878",1004,1,"10607"
"879",1030,1,"10607"
"880",1001,1,"10607"
"881",1003,1,"10607"
"882",1041,1,"10607"
"883",1053,1,"10607"
"884",1075,1,"10607"
"886",1008,1,"10635"
"887",1020,1,"10635"
"888",1157,1,"10635"
"889",1026,1,"10635"
"890",1041,1,"10635"
"891",1003,1,"10635"
"892",1018,1,"10635"
"893",1004,1,"10635"
"895",1119,1,"10639"
"896",1008,1,"10639"
"897",1070,1,"10639"
"898",1006,1,"10639"
"899",1041,1,"10639"
"900",1034,1,"10639"
"902",1046,1,"10648"
"903",1076,1,"10648"
"904",1001,1,"10648"
"905",1003,1,"10648"
"906",1018,1,"10648"
"907",1004,1,"10648"
"909",1008,1,"10649"
"910",1125,1,"10649"
"911",1009,1,"10649"
"912",1017,1,"10649"
"913",1034,1,"10649"
"914",1067,1,"10649"
"916",1008,1,"10653"
"917",1036,1,"10653"
"918",1037,1,"10653"
"919",1009,1,"10653"
"920",1032,1,"10653"
"921",1061,1,"10653"
"923",1036,1,"10659"
"924",1008,1,"10659"
"925",1052,1,"10659"
"926",1060,1,"10659"
"927",1041,1,"10659"
"928",1067,1,"10659"
"929",1004,1,"10659"
"930",1018,1,"10659"
"932",1081,1,"10660"
"933",1020,1,"10660"
"934",1049,1,"10660"
"935",1017,1,"10660"
"936",1114,1,"10660"
"937",1004,1,"10660"
"938",1112,1,"10660"
"939",1136,1,"10660"
"940",1003,1,"10660"
"941",1001,1,"10660"
"942",1083,1,"10660"
"944",1130,1,"10662"
"945",1024,1,"10662"
"946",1018,1,"10662"
"947",1008,1,"10662"
"948",1036,1,"10662"
"949",1009,1,"10662"
"950",1295,1,"10662"
"951",1001,1,"10662"
"953",1010,1,"10668"
"954",1008,1,"10668"
"955",1036,1,"10668"
"956",1081,1,"10668"
"957",1020,1,"10668"
"958",1040,1,"10668"
"959",1004,1,"10668"
"961",1008,1,"10669"
"962",1009,1,"10669"
"963",1160,1,"10669"
"964",1001,1,"10669"
"965",1032,1,"10669"
"966",1003,1,"10669"
"968",1035,1,"10671"
"969",1037,1,"10671"
"970",1009,1,"10671"
"971",1017,1,"10671"
"972",1001,1,"10671"
"973",1003,1,"10671"
"974",1004,1,"10671"
"976",1035,1,"10678"
"977",1008,1,"10678"
"978",1037,1,"10678"
"979",1009,1,"10678"
"980",1017,1,"10678"
"981",1001,1,"10678"
"982",1018,1,"10678"
"983",1004,1,"10678"
"985",1025,1,"10680"
"986",1038,1,"10680"
"987",1295,1,"10680"
"988",1026,1,"10680"
"989",1041,1,"10680"
"990",1004,1,"10680"
"992",1008,1,"10686"
"993",1035,1,"10686"
"994",1003,1,"10686"
"995",1001,1,"10686"
"996",1034,1,"10686"
"997",1078,1,"10686"
"998",1018,1,"10686"
"1000",1017,1,"10699"
"1001",1076,1,"10699"
"1002",1059,1,"10699"
"1003",1078,1,"10699"
"1004",1004,1,"10699"
"1005",1008,1,"10699"
"1006",1162,1,"10699"
"1007",1001,1,"10699"
"1008",1034,1,"10699"
"1009",1028,1,"10699"
"1011",1017,1,"10702"
"1012",1004,1,"10702"
"1013",1018,1,"10702"
"1014",1008,1,"10702"
"1015",1010,1,"10702"
"1016",1093,1,"10702"
"1017",1009,1,"10702"
"1018",1003,1,"10702"
"1019",1032,1,"10702"
"1021",1017,1,"10706"
"1022",1063,1,"10706"
"1023",1078,1,"10706"
"1024",1135,1,"10706"
"1025",1099,1,"10706"
"1026",1052,1,"10706"
"1027",1060,1,"10706"
"1028",1003,1,"10706"
"1029",1001,1,"10706"
"1031",1140,1,"10718"
"1032",1007,1,"10718"
"1033",1070,1,"10718"
"1034",1034,1,"10718"
"1035",1002,1,"10718"
"1036",1004,1,"10718"
"1038",1037,1,"10742"
"1039",1030,1,"10742"
"1040",1009,1,"10742"
"1041",1017,1,"10742"
"1042",1004,1,"10742"
"1043",1074,1,"10742"
"1045",1008,1,"10744"
"1046",1035,1,"10744"
"1047",1009,1,"10744"
"1048",1095,1,"10744"
"1049",1017,1,"10744"
"1050",1163,1,"10744"
"1051",1018,1,"10744"
"1052",1004,1,"10744"
"1053",1002,1,"10744"
"1055",1081,1,"10752"
"1056",1065,1,"10752"
"1057",1020,1,"10752"
"1058",1054,1,"10752"
"1059",1131,1,"10752"
"1060",1017,1,"10752"
"1061",1132,1,"10752"
"1062",1014,1,"10752"
"1063",1018,1,"10752"
"1064",1004,1,"10752"
"1065",1000,1,"10752"
"1066",1164,1,"10752"
"1067",1038,1,"10752"
"1068",1095,1,"10752"
"1069",1011,1,"10752"
"1070",1026,1,"10752"
"1071",1031,1,"10752"
"1072",1040,1,"10752"
"1073",1134,1,"10752"
"1075",1141,1,"10788"
"1076",1010,1,"10788"
"1077",1023,1,"10788"
"1078",1144,1,"10788"
"1079",1166,1,"10788"
"1080",1072,1,"10788"
"1082",1008,1,"10790"
"1083",1016,1,"10790"
"1084",1123,1,"10790"
"1085",1038,1,"10790"
"1086",1046,1,"10790"
"1087",1026,1,"10790"
"1088",1017,1,"10790"
"1089",1041,1,"10790"
"1090",1001,1,"10790"
"1091",1034,1,"10790"
"1092",1071,1,"10790"
"1094",1008,1,"10791"
"1095",1009,1,"10791"
"1096",1076,1,"10791"
"1097",1001,1,"10791"
"1098",1004,1,"10791"
"1099",1018,1,"10791"
"1100",1167,1,"10791"
"1101",1074,1,"10791"
"1103",1008,1,"10793"
"1104",1158,1,"10793"
"1105",1009,1,"10793"
"1106",1017,1,"10793"
"1107",1001,1,"10793"
"1108",1032,1,"10793"
"1109",1024,1,"10793"
"1110",1004,1,"10793"
"1111",1034,1,"10793"
"1113",1016,1,"10797"
"1114",1168,1,"10797"
"1115",1017,1,"10797"
"1116",1169,1,"10797"
"1117",1031,1,"10797"
"1118",1040,1,"10797"
"1119",1050,1,"10797"
"1120",1001,1,"10797"
"1122",1295,1,"10810"
"1123",1076,1,"10810"
"1124",1003,1,"10810"
"1125",1001,1,"10810"
"1126",1018,1,"10810"
"1127",1004,1,"10810"
"1129",1008,1,"10817"
"1130",1009,1,"10817"
"1131",1039,1,"10817"
"1132",1137,1,"10817"
"1133",1004,1,"10817"
"1134",1067,1,"10817"
"1135",1034,1,"10817"
"1137",1081,1,"10818"
"1138",1020,1,"10818"
"1139",1017,1,"10818"
"1140",1004,1,"10818"
"1141",1010,1,"10818"
"1142",1008,1,"10818"
"1143",1037,1,"10818"
"1144",1011,1,"10818"
"1145",1009,1,"10818"
"1146",1100,1,"10818"
"1147",1134,1,"10818"
"1148",1034,1,"10818"
"1149",1028,1,"10818"
"1151",1085,1,"10821"
"1152",1170,1,"10821"
"1153",1054,1,"10821"
"1154",1017,1,"10821"
"1155",1004,1,"10821"
"1156",1037,1,"10821"
"1157",1009,1,"10821"
"1158",1001,1,"10821"
"1160",1035,1,"10833"
"1161",1009,1,"10833"
"1162",1155,1,"10833"
"1163",1001,1,"10833"
"1164",1018,1,"10833"
"1165",1004,1,"10833"
"1166",1075,1,"10833"
"1168",1008,1,"10835"
"1169",1123,1,"10835"
"1170",1009,1,"10835"
"1171",1006,1,"10835"
"1172",1007,1,"10835"
"1173",1034,1,"10835"
"1175",1173,1,"10842"
"1176",1295,1,"10842"
"1177",1009,1,"10842"
"1178",1100,1,"10842"
"1179",1004,1,"10842"
"1180",1074,1,"10842"
"1182",1157,1,"10844"
"1183",1017,1,"10844"
"1184",1076,1,"10844"
